Contig	T0.R.Dry.soil.A	T0.R.Dry.soil.B	T0.R.Dry.soil.C	T1.R.H218O.A	T1.R.H218O.B	T1.R.H218O.C	T1.R.H218O.P.A	T1.R.H218O.P.B	T1.R.H218O.P.C	T1.R.H2O.A	T1.R.H2O.B	T1.R.H2O.C	T1.R.H2O.P.A	T1.R.H2O.P.B	T1.R.H2O.P.C	T2.R.H218O.A	T2.R.H218O.B	T2.R.H218O.C	T2.R.H218O.P.A	T2.R.H218O.P.B	T2.R.H218O.P.C	T2.R.H2O.A	T2.R.H2O.B	T2.R.H2O.C	T2.R.H2O.P.A	T2.R.H2O.P.B	T2.R.H2O.P.C	T3.R.H218O.A	T3.R.H218O.B	T3.R.H218O.C	T3.R.H218O.P.A	T3.R.H218O.P.B	T3.R.H218O.P.C	T3.R.H2O.A	T3.R.H2O.B	T3.R.H2O.C	T3.R.H2O.P.A	T3.R.H2O.P.B	T3.R.H2O.P.C	Class	Order	host	Phylum
T1-R-H2O-A_NODE_1439_length_1688_cov_26.234385	0	0	0	0	0	0	0	0	0	1972.4366	0	1297.1542	0	0	2296.901	0	0	0	0	0	0	0	722.5287	234.70905	0	0	0	0	1947.4591	1040.256	0	0	0	0	0	0	0	0	0	Howeltoviricetes	Cryppavirales	NA	Lenarviricota
T1-R-H2O-A_NODE_1441_length_1687_cov_8.382426	0	0	903.54004	0	0	0	0	0	0	495.05164	339.9709	0	168.62068	0	0	0	0	0	0	0	0	293.7596	276.75696	0	85.92089	0	0	0	0	0	0	0	0	354.60956	721.4078	0	0	0	0	Kitrinoviricota	Kitrinoviricota	NA	Kitrinoviricota
T1-R-H2O-A_NODE_1467_length_1678_cov_9.245177	0	0	261.7384	0	0	0	0	0	0	1506.3928	0	0	0	0	0	0	340.09183	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	101.511055	0	Amabiliviricetes	Wolframvirales	Bacteria	Lenarviricota
T1-R-H2O-A_NODE_1496_length_1670_cov_3.504690	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	128.11975	0	0	0	0	0	0	0	0	0	0	0	0	Kitrinoviricota	Kitrinoviricota	NA	Kitrinoviricota
T1-R-H2O-A_NODE_1632_length_1629_cov_2.413350	0	0	0	0	0	0	0	0	0	430.64932	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	731.09576	Chrymotiviricetes	Ghabrivirales	Fungi	Duplornaviricota
T1-R-H2O-A_NODE_1704_length_1611_cov_3.120779	0	0	0	0	0	0	0	0	0	511.49393	1285.1063	0	0	0	101.12119	0	0	0	0	0	0	178.09459	0	0	0	144.05615	0	0	0	0	0	0	0	0	71.94674	0	36.358543	0	0	Howeltoviricetes	Cryppavirales	NA	Lenarviricota
T1-R-H2O-A_NODE_1830_length_1578_cov_2.394161	0	0	0	0	0	0	0	0	0	388.1146	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Duplopiviricetes	Durnavirales	Fungi	Pisuviricota
T1-R-H2O-A_NODE_2030_length_1540_cov_4.492852	0	0	0	0	0	0	0	0	0	766.45996	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	96.94249	0	0	0	0	0	0	0	0	Chrymotiviricetes	Ghabrivirales	Fungi	Duplornaviricota
T1-R-H2O-A_NODE_2130_length_1523_cov_2.535813	0	0	0	0	0	0	45.87679	0	0	219.34398	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Howeltoviricetes	Cryppavirales	NA	Lenarviricota
T1-R-H2O-A_NODE_2236_length_1500_cov_4.100070	0	0	0	0	0	0	0	0	0	712.66315	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Amabiliviricetes	Wolframvirales	NA	Lenarviricota
