Contig	T0.R.Dry.soil.A	T0.R.Dry.soil.B	T0.R.Dry.soil.C	T1.R.H218O.A	T1.R.H218O.B	T1.R.H218O.C	T1.R.H218O.P.A	T1.R.H218O.P.B	T1.R.H218O.P.C	T1.R.H2O.A	T1.R.H2O.B	T1.R.H2O.C	T1.R.H2O.P.A	T1.R.H2O.P.B	T1.R.H2O.P.C	T2.R.H218O.A	T2.R.H218O.B	T2.R.H218O.C	T2.R.H218O.P.A	T2.R.H218O.P.B	T2.R.H218O.P.C	T2.R.H2O.A	T2.R.H2O.B	T2.R.H2O.C	T2.R.H2O.P.A	T2.R.H2O.P.B	T2.R.H2O.P.C	T3.R.H218O.A	T3.R.H218O.B	T3.R.H218O.C	T3.R.H218O.P.A	T3.R.H218O.P.B	T3.R.H218O.P.C	T3.R.H2O.A	T3.R.H2O.B	T3.R.H2O.C	T3.R.H2O.P.A	T3.R.H2O.P.B	T3.R.H2O.P.C	Class	Order	host	Phylum
T0-R-Dry-soil-C_NODE_3203_length_922_cov_3.719154	141.13332	0	112.082954	0	0	96.70426	0	0	125.05318	193.23839	0	0	97.42998	0	0	0	194.18114	0	123.79568	0	121.20453	0	289.3641	209.61264	0	0	0	0	164.55753	276.63177	255.33745	0	89.69139	192.89705	0	238.50237	59.29361	86.93917	0	Howeltoviricetes	Cryppavirales	NA	Lenarviricota
T0-R-Dry-soil-C_NODE_3615_length_889_cov_6.442543	0	414.62354	813.7045	276.77493	0	150.44093	209.58485	231.89392	0	150.3086	94.410965	797.26776	218.93434	0	348.1686	184.42644	176.21555	0	154.06923	322.86667	78.564804	322.73383	150.0527	173.91483	104.34991	200.80858	233.79846	244.10747	85.332985	308.9697	129.17838	0	69.76557	90.9352	0	247.35567	96.63439	67.62479	695.92566	Unassigned	Unassigned	NA	Unassigned
T0-R-Dry-soil-C_NODE_3622_length_889_cov_2.677262	0	543.29987	494.03494	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Amabiliviricetes	Wolframvirales	NA	Lenarviricota
T0-R-Dry-soil-C_NODE_3656_length_887_cov_2.710784	169.27187	186.28482	626.2177	0	0	0	96.27632	0	103.990105	0	0	0	0	80.96116	0	0	252.30411	0	0	0	0	0	128.90662	0	0	90.56761	0	0	99.779625	99.535614	77.681786	106.19493	46.615253	164.05243	108.893456	0	39.621384	0	0	Duplopiviricetes	Durnavirales	Fungi	Pisuviricota
T0-R-Dry-soil-C_NODE_3721_length_883_cov_3.935961	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	120.325424	0	0	0	0	Leviviricetes	Levivirales	Bacteria	Lenarviricota
T0-R-Dry-soil-C_NODE_3725_length_883_cov_2.406404	0	86.36709	468.13358	0	0	0	0	0	0	0	0	0	0	0	0	0	0	326.86423	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45.389534	0	Milneviricetes	Unassigned	NA	Negarnaviricota
T0-R-Dry-soil-C_NODE_3993_length_865_cov_2.603275	0	0	448.0079	0	129.99037	0	0	0	0	90.112755	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28.037477	0	78.221146	0	0	0	Amabiliviricetes	Wolframvirales	NA	Lenarviricota
T0-R-Dry-soil-C_NODE_4031_length_863_cov_5.243687	0	471.2994	823.2512	0	0	51.657776	0	919.68915	0	0	0	0	0	0	207.64413	0	0	0	0	0	0	0	0	0	53.74685	362.00226	0	238.88873	0	0	598.8158	0	0	0	0	0	0	0	0	Miaviricetes	Ourlivirales	NA	Lenarviricota
T0-R-Dry-soil-C_NODE_4209_length_854_cov_2.007663	0	0	257.1411	0	0	0	0	0	0	0	0	0	0	0	123.991875	0	104.82143	0	0	0	65.427734	0	0	0	0	0	0	0	310.90582	0	0	0	0	170.3917	248.82283	118.84301	0	0	0	Tolucaviricetes	Tolivirales	Fungi	Kitrinoviricota
T0-R-Dry-soil-C_NODE_4269_length_850_cov_2.277279	0	0	486.30817	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	129.45477	0	0	0	0	0	0	0	0	0	0	0	0	Amabiliviricetes	Wolframvirales	NA	Lenarviricota
T0-R-Dry-soil-C_NODE_4326_length_847_cov_2.827320	0	0	457.52872	0	0	0	91.65729	0	0	0	0	0	0	0	0	0	105.68772	0	188.66052	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	119.82519	0	0	0	Ellioviricetes	Bunyavirales	NA	Negarnaviricota
T0-R-Dry-soil-C_NODE_4561_length_836_cov_2.151634	443.009	0	648.9683	196.21443	0	359.95154	176.44029	0	110.334	79.91886	133.86179	272.51108	143.27025	171.80035	0	362.065	0	0	0	171.66774	317.47324	140.39763	91.18035	115.58783	0	170.83142	36.56185	90.85411	181.4857	0	0	0	0	135.38033	0	283.27094	93.41884	0	0	Amabiliviricetes	Wolframvirales	NA	Lenarviricota
T0-R-Dry-soil-C_NODE_4580_length_835_cov_1.908377	263.72623	639.3233	402.22342	216.09438	201.99101	133.47504	74.379616	209.85703	0	0	0	0	0	73.716896	175.58757	302.08218	134.00824	0	136.69415	257.81	83.64564	0	0	0	0	0	0	77.968216	0	70.489494	0	0	49.518238	0	0	0	0	71.99812	370.4658	Lenarviricota	Lenarviricota	Bacteria	Lenarviricota
T0-R-Dry-soil-C_NODE_4743_length_827_cov_3.052910	0	0	562.31213	0	0	0	140.81087	0	0	0	0	0	0	0	0	0	0	552.5798	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Amabiliviricetes	Wolframvirales	NA	Lenarviricota
T0-R-Dry-soil-C_NODE_4869_length_821_cov_3.057333	0	185.77866	314.67868	0	171.19621	81.45067	85.10396	0	56.17492	0	0	0	0	0	79.36967	261.14838	136.2934	0	97.31758	148.58354	119.1008	0	58.028908	0	70.62048	54.36018	148.91942	0	138.60114	0	41.963303	0	75.54397	147.70049	117.64738	0	0	61.021553	0	Leviviricetes	Levivirales	Bacteria	Lenarviricota
T0-R-Dry-soil-C_NODE_5227_length_803_cov_2.830601	0	189.94305	482.59875	817.1122	0	0	580.07764	0	315.88776	0	0	330.99518	0	114.981834	0	0	0	0	0	196.59485	452.29062	0	0	0	0	0	0	0	0	0	0	0	0	0	108.25609	221.18416	0	0	0	Tolucaviricetes	Tolivirales	NA	Kitrinoviricota
T0-R-Dry-soil-C_NODE_5377_length_797_cov_4.319559	0	175.42525	794.1787	72.03556	0	307.64575	0	0	0	391.20468	0	0	0	386.1582	81.75972	0	0	422.4901	0	0	0	147.26778	406.479	121.24394	116.39532	0	0	544.571	0	172.31749	0	574.0503	0	0	0	254.6849	0	0	0	Kitrinoviricota	Kitrinoviricota	NA	Kitrinoviricota
T0-R-Dry-soil-C_NODE_5513_length_791_cov_2.711111	0	0	506.2508	0	0	0	0	0	0	253.39633	0	0	0	77.81746	0	382.66287	141.46255	243.2542	0	145.14714	0	0	0	97.7309	131.93799	0	0	356.65613	0	0	0	0	0	204.40303	598.3358	235.23204	0	63.335896	684.3782	Amabiliviricetes	Wolframvirales	NA	Lenarviricota
T0-R-Dry-soil-C_NODE_5661_length_786_cov_3.581818	0	0	328.6911	0	0	0	266.68073	0	0	0	0	0	0	156.62497	134.7189	0	113.889946	367.20245	0	0	35.544075	0	0	0	0	0	101.10795	414.14417	289.54587	0	0	0	0	205.7033	233.48364	0	0	38.24328	118.0683	Miaviricetes	Ourlivirales	NA	Lenarviricota
T0-R-Dry-soil-C_NODE_5864_length_779_cov_10.048023	488.27362	783.1799	2056.197	0	0	143.07016	0	0	0	1829.687	2334.4192	974.8364	326.72604	210.70984	104.561134	161.89897	114.913345	0	0	0	0	1171.8827	5822.199	781.4865	208.3984	0	47.084534	0	0	0	0	0	0	6631.2773	1711.0671	1053.1361	0	51.449234	0	Leviviricetes	Levivirales	NA	Lenarviricota
T0-R-Dry-soil-C_NODE_5918_length_777_cov_11.354108	141.70619	81.79123	648.3717	84.445435	0	0	0	0	192.90698	0	0	0	38.5373	52.813053	0	0	0	0	0	0	0	0	73.577965	0	97.005455	0	62.94097	0	0	353.5059	0	173.18423	0	0	0	0	0	0	0	Alsuviricetes	Tymovirales	Fungi	Kitrinoviricota
T0-R-Dry-soil-C_NODE_6241_length_766_cov_2.575540	0	0	539.63696	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	196.79697	0	0	0	0	0	0	0	80.96814	0	0	0	0	0	0	Alsuviricetes	Tymovirales	Fungi	Kitrinoviricota
T0-R-Dry-soil-C_NODE_6518_length_756_cov_1.404380	0	0	222.12733	0	0	0	0	0	0	0	0	0	0	0	64.64534	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Ellioviricetes	Bunyavirales	NA	Negarnaviricota
T0-R-Dry-soil-C_NODE_6680_length_750_cov_1.929308	0	0	275.57462	0	0	0	0	0	0	0	242.4683	0	239.54785	0	0	0	0	0	0	0	74.50038	0	0	77.305145	0	0	0	1374.4065	0	0	0	0	0	172.46165	0	0	0	0	0	Chrymotiviricetes	Ghabrivirales	Fungi	Duplornaviricota
T0-R-Dry-soil-C_NODE_7021_length_739_cov_1.362275	0	0	244.71698	177.5754	114.115364	150.81415	0	0	0	0	0	0	0	0	0	0	0	0	92.67087	0	132.31631	176.47334	335.23273	78.45583	0	120.78406	132.3549	146.82784	0	53.097637	170.93848	109.25371	41.963192	131.27156	235.2629	0	100.39682	54.23404	0	Leviviricetes	Levivirales	NA	Lenarviricota
T0-R-Dry-soil-C_NODE_7500_length_725_cov_2.840979	0	0	534.5198	0	0	0	0	0	0	0	0	0	206.50676	127.352295	0	469.6857	0	663.49677	0	0	0	0	0	0	0	196.9863	33.72768	299.32623	0	0	300.9589	538.2566	0	256.46237	213.16081	0	86.17728	0	0	Howeltoviricetes	Cryppavirales	NA	Lenarviricota
T0-R-Dry-soil-C_NODE_7777_length_718_cov_2.601236	0	0	377.81165	0	0	0	43.249985	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	105.65602	0	0	0	136.77	270.22195	0	0	0	0	0	Amabiliviricetes	Wolframvirales	Bacteria	Lenarviricota
T0-R-Dry-soil-C_NODE_8321_length_705_cov_3.684543	340.75266	144.231	622.9745	58.168533	0	0	0	0	0	0	119.051544	143.62129	233.60165	0	0	0	0	0	0	0	0	0	0	82.23951	0	0	0	1477.5253	0	0	48.8679	0	0	160.5361	411.01486	0	0	28.424791	0	Duplopiviricetes	Durnavirales	NA	Pisuviricota
T0-R-Dry-soil-C_NODE_8498_length_701_cov_2.373016	0	0	0	0	360.90405	254.38324	0	205.8596	263.16467	698.93854	279.37204	0	331.0442	673.19696	325.34772	359.82684	0	0	0	61.418358	0	0	0	0	0	152.79785	61.044216	402.4465	180.36382	139.93991	0	0	58.98392	92.25837	496.0322	217.17245	0	28.586987	0	Tolucaviricetes	Tolivirales	NA	Kitrinoviricota
T0-R-Dry-soil-C_NODE_8651_length_698_cov_2.087719	0	0	314.61105	47.00151	0	0	0	0	0	0	0	0	879.4289	235.16185	396.76306	72.27467	160.31071	0	0	0	0	896.8285	0	0	83.06507	0	52.5485	0	0	0	0	0	0	0	0	0	0	0	0	Amabiliviricetes	Wolframvirales	Bacteria	Lenarviricota
T0-R-Dry-soil-C_NODE_8950_length_692_cov_1.201288	0	0	130.66896	0	0	0	0	0	0	0	0	0	0	0	0	0	64.680275	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36.66616	0	0	0	Amabiliviricetes	Wolframvirales	NA	Lenarviricota
T0-R-Dry-soil-C_NODE_9184_length_687_cov_1.693182	0	166.51122	225.63423	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Chunqiuviricetes	Muvirales	Invertebrates	Negarnaviricota
T0-R-Dry-soil-C_NODE_9215_length_686_cov_4.736585	0	0	828.53156	203.25069	0	0	0	0	100.844635	113.626144	0	0	0	0	94.98907	569.9269	0	420.7305	0	177.82375	173.08305	0	0	0	0	52.046307	0	0	0	57.199932	200.88554	235.38919	0	0	0	0	0	0	180.37257	Tolucaviricetes	Tolivirales	Plants	Kitrinoviricota
T0-R-Dry-soil-C_NODE_10043_length_670_cov_2.572621	0	0	231.35928	97.9315	314.66885	365.9607	370.78796	338.4613	378.59384	0	271.41977	264.4668	111.72941	643.0974	170.20055	527.06573	250.5154	574.3704	545.1445	214.20035	187.64087	661.8014	312.8711	490.36844	259.60934	239.80139	620.4383	0	641.61066	204.98065	334.23456	0	223.70972	772.2164	345.98865	669.0389	163.19017	366.39343	0	Howeltoviricetes	Cryppavirales	NA	Lenarviricota
T0-R-Dry-soil-C_NODE_10127_length_669_cov_1.556856	179.54456	0	270.32263	269.7142	378.16702	199.91328	301.7155	323.5596	0	0	250.91583	0	156.65498	0	121.75355	0	0	719.03613	0	150.16437	0	389.87683	0	259.99487	0	160.10658	219.30554	194.62918	0	366.584	145.90976	201.14223	0	410.85312	375.3813	328.69833	186.78183	209.68063	0	Alsuviricetes	Tymovirales	NA	Kitrinoviricota
T0-R-Dry-soil-C_NODE_10351_length_665_cov_1.001684	0	0	116.54941	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36.77078	0	0	0	0	0	0	0	0	0	0	0	0	Amabiliviricetes	Wolframvirales	NA	Lenarviricota
T0-R-Dry-soil-C_NODE_10569_length_661_cov_1.352542	272.57632	173.06082	390.84903	0	0	67.44427	70.469345	155.94077	0	0	423.2544	0	113.25069	124.162605	73.93627	0	0	0	0	151.98178	0	276.21683	158.56554	0	61.40029	108.02955	0	114.90777	0	59.363316	104.24167	0	86.01079	0	175.34976	153.54301	129.96667	121.26764	0	Duplopiviricetes	Durnavirales	NA	Pisuviricota
T0-R-Dry-soil-C_NODE_10653_length_659_cov_4.098639	75.94544	655.7695	313.62814	0	0	152.21014	0	578.73193	0	0	0	0	0	0	0	0	594.29297	0	0	0	0	0	0	0	0	0	0	0	0	416.80435	87.13169	0	0	0	0	0	0	273.68024	0	Miaviricetes	Ourlivirales	NA	Lenarviricota
T0-R-Dry-soil-C_NODE_10840_length_656_cov_1.770940	0	0	275.67966	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Ellioviricetes	Bunyavirales	Invertebrates	Negarnaviricota
T0-R-Dry-soil-C_NODE_11024_length_653_cov_2.319588	0	0	415.41922	0	0	0	0	0	0	0	0	0	0	172.81516	0	212.45213	0	0	0	0	0	0	0	118.384605	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Amabiliviricetes	Wolframvirales	NA	Lenarviricota
T0-R-Dry-soil-C_NODE_12436_length_631_cov_1.894643	63.452354	241.71834	368.48822	0	0	0	0	147.01927	91.36215	0	0	0	130.49855	65.03287	51.634308	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Alsuviricetes	Tymovirales	Fungi	Kitrinoviricota
T0-R-Dry-soil-C_NODE_12694_length_627_cov_6.510791	191.57147	243.2604	927.09766	0	224.166	71.10154	297.16257	263.035	0	213.11696	178.48239	565.2081	0	130.89551	194.86394	120.68833	142.77113	383.60062	145.63269	114.44516	133.67293	540.7909	151.96725	154.11711	166.44807	0	107.24811	0	0	453.72226	0	536.5397	247.29504	103.14692	647.0043	107.91274	186.83769	0	0	Pisoniviricetes	Picornavirales	NA	Pisuviricota
T0-R-Dry-soil-C_NODE_12705_length_627_cov_3.354317	0	0	82.408676	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Miaviricetes	Ourlivirales	NA	Lenarviricota
T0-R-Dry-soil-C_NODE_12812_length_626_cov_1.509910	95.93875	182.73674	288.89114	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Alsuviricetes	Tymovirales	NA	Kitrinoviricota
T0-R-Dry-soil-C_NODE_13097_length_622_cov_2.174229	160.9262	0	269.98114	0	0	0	0	99.43104	185.36821	0	0	0	240.70322	164.93465	419.05142	162.21132	0	0	146.80336	0	44.915825	167.73479	0	0	121.17884	746.22015	39.31281	0	0	0	0	0	0	0	93.17218	0	62.779865	161.08905	0	Leviviricetes	Levivirales	Bacteria	Lenarviricota
T0-R-Dry-soil-C_NODE_13551_length_616_cov_2.948624	0	0	335.52106	186.4037	228.16898	162.8352	176.44028	200.79906	74.8695	0	408.75653	0	145.82864	233.15762	0	0	0	0	222.3499	116.48882	158.7366	254.05287	371.2343	156.8692	310.604	57.96066	178.63077	0	0	191.09978	335.57016	174.75864	50.342205	183.73044	188.15941	54.919876	88.7479	0	150.65208	Leviviricetes	Levivirales	Bacteria	Lenarviricota
T0-R-Dry-soil-C_NODE_13843_length_612_cov_3.536044	0	0	464.35678	562.8661	987.5392	855.91956	583.5215	404.22293	998.50464	454.87585	685.7136	641.1036	538.1999	569.94086	385.97067	453.37012	621.6493	1454.1096	1119.0159	515.9009	342.37308	724.52106	622.76776	1610.5238	464.2143	860.50745	509.42853	567.3504	289.23047	817.48236	562.9391	835.52905	388.4795	1347.3567	741.77435	497.50946	835.85443	523.9079	581.2742	Leviviricetes	Levivirales	Bacteria	Lenarviricota
T0-R-Dry-soil-C_NODE_14005_length_610_cov_4.174397	164.09196	0	465.87924	80.67309	460.82654	438.49835	178.17577	321.05902	0	474.62192	458.64124	456.4685	220.89453	0	267.05942	434.1812	293.5	709.72406	0	117.63462	274.7965	192.4138	781.01196	443.5541	209.10611	263.38843	160.34471	320.18094	248.72467	192.97945	310.63162	0	220.29526	304.81183	1140.0609	332.76044	307.27142	180.68382	0	Leviviricetes	Levivirales	Bacteria	Lenarviricota
T0-R-Dry-soil-C_NODE_14813_length_601_cov_0.958491	133.2394	105.7434	150.45412	54.587444	0	0	90.42198	0	0	0	0	0	0	102.418655	0	0	0	0	0	119.3962	0	0	0	64.31376	57.882946	207.92543	0	270.81308	210.37444	0	0	0	0	0	128.57037	0	97.460266	133.37422	0	Pisoniviricetes	Picornavirales	NA	Pisuviricota
T1-R-H218O-A_NODE_3_length_7813_cov_17.140532	278.0091	231.00864	368.69525	1427.6716	1032.5981	907.2476	641.89667	2800.8723	2989.8352	253.69183	290.04816	588.03986	310.43414	723.4959	1597.1609	4484.314	1394.9515	1369.9005	747.9775	1544.8032	784.8858	2345.2117	539.04126	1609.0809	1119.8124	1350.3728	986.6469	620.78687	472.53336	985.62445	3137.4001	2772.9204	576.18506	584.6076	199.03682	381.044	2999.7766	3928.1274	718.6103	Alsuviricetes	Tymovirales	Fungi	Kitrinoviricota
T1-R-H218O-A_NODE_15_length_4070_cov_37.250813	122.96817	0	0	380.86813	607.79285	421.70895	986.1581	686.3347	875.3661	1532.1383	934.86176	715.23926	2961.241	2462.6487	1528.9972	501.99823	519.61945	803.6951	835.7151	685.8359	849.4554	1214.4185	1175.2407	702.77405	2189.5422	1829.0504	1960.1106	397.23242	428.69867	383.2325	784.4079	803.4174	1009.56525	748.8257	870.9577	594.3221	1021.8001	1169.3799	623.23816	Leviviricetes	Levivirales	Bacteria	Lenarviricota
T1-R-H218O-A_NODE_17_length_4044_cov_15.936068	0	0	0	1224.9913	1199.0719	1595.71	902.2713	695.84515	2335.062	1285.9084	1456.2765	1098.535	1184.7075	1141.5729	652.59174	1297.3696	1098.4932	1403.614	1165.6692	745.25195	882.5504	1728.5311	1307.6737	2097.9822	1023.6722	1556.0802	1253.164	1381.8119	1003.60156	1174.0696	736.91565	1397.5505	743.8297	2372.8667	1485.6094	1070.8018	1114.3085	931.6077	673.1412	Leviviricetes	Levivirales	Bacteria	Lenarviricota
T1-R-H218O-A_NODE_19_length_3929_cov_9.216433	277.69086	909.0379	549.05383	569.8858	522.2857	462.3726	525.59357	666.36597	493.0068	850.2439	840.23914	728.0217	693.52423	718.0472	545.2322	362.7254	318.97302	526.45746	458.99872	211.85608	323.5334	627.3405	448.64957	400.88882	259.71948	243.08366	342.2986	193.31645	392.59543	244.68294	257.2126	0	214.42094	399.166	565.42004	378.8619	134.1722	160.66264	0	Leviviricetes	Levivirales	Bacteria	Lenarviricota
T1-R-H218O-A_NODE_25_length_3805_cov_547.490359	0	0	0	577.68005	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Amabiliviricetes	Wolframvirales	NA	Lenarviricota
T1-R-H218O-A_NODE_28_length_3755_cov_48.709826	0	0	0	5860.2744	1287.6144	783.5749	0	0	0	346.96066	581.14905	2605.4785	0	0	0	879.9802	1784.9861	2805.505	349.56207	0	0	1934.5006	510.03934	630.4847	180.6549	0	87.91203	0	1016.86774	619.1531	266.07303	0	0	3166.9158	1916.3363	646.4311	0	0	0	Leviviricetes	Levivirales	Bacteria	Lenarviricota
T1-R-H218O-A_NODE_38_length_3460_cov_5.718796	0	0	0	490.68353	0	0	0	0	0	0	0	0	0	189.76067	0	0	0	0	0	0	0	0	0	0	0	0	88.3402	0	0	0	0	0	119.50211	0	0	0	189.60245	0	0	Leviviricetes	Levivirales	Bacteria	Lenarviricota
T1-R-H218O-A_NODE_44_length_3356_cov_12.245662	125.26924	0	238.64384	1490.7853	414.62027	710.68695	335.4258	1363.7103	364.17453	318.53238	504.35504	897.5795	278.82416	311.80316	359.20926	518.6074	766.8737	1225.5217	469.3465	275.82443	457.85767	641.1883	516.7339	403.11084	338.6164	207.45631	351.56033	345.95105	666.8356	409.22833	277.17535	417.0045	180.18788	556.4471	569.8606	493.95163	278.09085	265.72012	230.43724	Leviviricetes	Levivirales	Bacteria	Lenarviricota
T1-R-H218O-A_NODE_58_length_3204_cov_6.482285	0	79.34055	209.64828	455.65353	175.47078	852.2364	261.6867	295.97595	0	0	995.4404	766.35	0	633.9791	455.05957	1027.3763	227.00677	1456.3175	651.9211	217.2422	839.2629	0	556.1176	0	238.8665	568.31836	324.35526	8344.514	268.33902	3576.1025	747.3174	298.19147	224.22498	4112.718	1043.0593	6839.513	290.0649	3704.2388	0	Amabiliviricetes	Wolframvirales	NA	Lenarviricota
T1-R-H218O-A_NODE_79_length_2957_cov_7.209286	0	0	0	540.867	389.76233	301.5263	383.3116	759.91724	596.576	674.0716	359.53006	1035.8145	736.68866	503.05908	316.77747	392.39014	253.53706	406.69193	192.99902	254.8021	304.697	1168.7406	412.45465	490.18304	221.56488	178.09622	250.14886	366.94547	641.3681	315.16058	240.78638	168.37584	262.1812	369.0764	545.4947	383.26904	129.41527	140.62198	261.53107	Tolucaviricetes	Tolivirales	Fungi	Kitrinoviricota
T1-R-H218O-A_NODE_99_length_2804_cov_8.111233	74.96497	0	0	971.1075	1187.976	1271.9161	3779.245	2984.964	3721.3132	1501.1294	1272.1405	1209.6918	3644.156	4555.055	3485.8682	796.11694	722.3015	1192.2948	3488.5042	4854.6094	2934.2498	1274.3717	1033.0305	1064.8756	3492.412	4335.639	3292.0273	700.4117	789.0917	465.30023	2449.1465	7126.525	2034.9453	965.82983	1036.8451	1628.7935	2416.1965	2063.6233	2399.473	Amabiliviricetes	Wolframvirales	Bacteria	Lenarviricota
T1-R-H218O-A_NODE_110_length_2719_cov_7.311556	0	238.40683	175.78143	907.95544	2067.7026	856.6898	268.39166	109.93852	220.50568	1113.9457	1764.647	1582.6602	236.77266	143.37608	134.80656	1280.2108	893.035	1318.0258	0	0	143.84958	1323.8033	1454.3082	1236.7686	89.55997	0	0	734.27954	1102.0635	501.4934	114.037094	0	0	1540.1193	1939.5851	802.52905	0	68.17403	0	Leviviricetes	Levivirales	Bacteria	Lenarviricota
T1-R-H218O-A_NODE_123_length_2633_cov_15.887198	938.9949	1124.7675	986.1107	1981.1324	234.87627	1066.685	1205.9321	743.8132	564.8908	389.08212	467.52493	442.23682	1225.3741	366.25137	117.55483	191.59789	603.46967	794.722	459.50623	302.50818	392.59128	188.2159	882.9915	352.3212	167.35419	728.8559	76.617424	313.19553	259.3047	264.52524	405.62402	183.98439	0	98.250084	168.74556	199.15494	0	0	352.4561	Amabiliviricetes	Wolframvirales	NA	Lenarviricota
T1-R-H218O-A_NODE_130_length_2618_cov_23.151943	0	0	0	1040.1013	1615.9733	974.8827	1292.907	3311.2158	6443.1807	0	0	348.08136	589.0333	548.6062	1518.301	6561.287	4210.024	1589.3638	0	1255.3384	1360.5995	2007.5157	0	915.3779	1357.5776	951.23663	1403.3607	0	0	4080.542	2138.4373	2934.9172	625.82263	0	0	0	3092.0068	1858.1295	0	Magsaviricetes	Nodamuvirales	NA	Kitrinoviricota
T1-R-H218O-A_NODE_132_length_2618_cov_3.403612	0	0	0	228.697	241.59068	195.82799	166.06143	157.48946	0	144.61508	374.0256	314.24014	457.50165	313.48926	140.00728	168.6087	0	376.67004	187.47148	123.34111	82.70311	114.57287	232.93132	206.69824	90.80046	132.96857	100.406845	99.47053	159.3719	0	149.1423	0	53.30351	160.57115	143.8866	132.45383	49.221527	51.667866	0	Leviviricetes	Levivirales	Bacteria	Lenarviricota
T1-R-H218O-A_NODE_138_length_2592_cov_105.393098	382.31146	171.62904	433.57553	174.03433	119.29576	137.59464	98.839226	0	133.44795	0	0	0	92.41815	154.35898	69.1346	0	0	0	189.35199	0	134.73015	0	180.12694	137.93839	0	72.31665	0	167.44717	0	117.32386	90.82605	0	0	0	197.49962	91.36362	0	0	0	Howeltoviricetes	Cryppavirales	NA	Lenarviricota
T1-R-H218O-A_NODE_141_length_2579_cov_11.418660	0	0	0	1427.9147	0	129.6452	0	0	0	0	178.99278	284.6391	243.82053	0	227.39917	293.41446	0	0	177.02927	178.07117	0	308.46225	709.36127	400.91364	134.88814	0	146.96193	286.09506	0	334.7272	0	0	40.081165	0	475.63934	0	184.72227	268.0737	0	Howeltoviricetes	Cryppavirales	NA	Lenarviricota
T1-R-H218O-A_NODE_152_length_2494_cov_18.669418	0	1054.9493	0	2213.2266	332.50092	866.94556	252.1384	219.04861	1007.8263	0	785.24384	0	360.18625	296.16812	0	268.01617	713.3762	925.80945	411.89114	120.84197	112.01942	0	198.66641	0	118.56256	0	80.8876	0	0	114.06731	886.3921	1138.4537	0	0	0	128.86572	0	0	663.5779	Miaviricetes	Ourlivirales	NA	Lenarviricota
T1-R-H218O-A_NODE_158_length_2476_cov_3.135551	0	0	0	66.25011	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Amabiliviricetes	Wolframvirales	NA	Lenarviricota
T1-R-H218O-A_NODE_164_length_2462_cov_5.689251	0	0	0	686.25635	1061.8477	778.6225	5789.42	4718.4243	3170.489	5671.7075	1227.2659	1177.241	13250.781	17259.348	12161.726	624.9616	936.2614	1357.9182	3518.764	3532.4785	3895.043	1160.0577	1300.3754	1342.3213	10639.765	6660.014	6967.294	590.56757	585.4425	525.9513	1933.4281	2158.9292	3415.5542	1270.7401	1133.7968	573.6919	8912.136	4405.5107	1105.6794	Leviviricetes	Levivirales	Bacteria	Lenarviricota
