asv	1-Dry-Soil	2-Dry-Soil	T-1-H218O-A	T-1-H218O-B	T-1-H218O-C	T-1-H218O-P-A	T-1-H218O-P-B	T-1-H218O-P-C	T-1-H2O-A	T-1-H2O-B	T-1-H2O-C	T-1-H2O-P-A	T-1-H2O-P-B	T-1-H2O-P-C	T-2-H218O-A	T-2-H218O-B	T-2-H218O-C	T-2-H218O-P-B	T-2-H218O-P-C	T-2-H2O-A	T-2-H2O-B	T-2-H2O-C	T-2-H2O-P-A	T-2-H2O-P-B	T-2-H2O-P-C	T-3-H218O-B	T-3-H218O-C	T-3-H218O-P-A	T-3-H218O-P-B	T-3-H218O-P-C
479bebaa0277f9980a4543fd2f5c3f49	22.0	7.0	0.0	0.0	3.0	0.0	0.0	15.0	0.0	0.0	17.0	0.0	11.0	25.0	0.0	0.0	0.0	0.0	0.0	7.0	0.0	0.0	0.0	40.0	0.0	11.0	5.0	0.0	0.0	0.0
e6f6948f098a1fd201f0215885461097	5.0	14.0	0.0	3.0	4.0	0.0	0.0	6.0	9.0	9.0	14.0	10.0	0.0	14.0	5.0	5.0	3.0	0.0	0.0	7.0	0.0	0.0	10.0	6.0	12.0	0.0	4.0	18.0	5.0	0.0
03f6ea5f2a015c9fc480ee862500efa8	0.0	0.0	0.0	0.0	20.0	54.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	51.0	0.0	36.0
c8db9c86af7e00a1784d7113affa8fe2	0.0	0.0	0.0	0.0	0.0	137.0	0.0	0.0	0.0	0.0	0.0	0.0	24.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
f6758e7285d33212ebab5fcbf4cff6c6	0.0	0.0	0.0	0.0	13.0	0.0	0.0	0.0	0.0	0.0	39.0	0.0	0.0	0.0	0.0	43.0	0.0	17.0	0.0	5.0	0.0	16.0	10.0	16.0	0.0	0.0	0.0	0.0	0.0	0.0
207ad4640f59792abd931ca83d0dbc76	0.0	0.0	0.0	0.0	48.0	0.0	0.0	0.0	0.0	0.0	0.0	28.0	0.0	0.0	0.0	0.0	0.0	0.0	13.0	0.0	0.0	69.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
26bce610cd944bff595c1d98ba4197cb	0.0	21.0	0.0	101.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	23.0	0.0	0.0	0.0	0.0	12.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4c86704c404420450f3cd51562b760f7	26.0	42.0	0.0	0.0	21.0	0.0	0.0	0.0	0.0	0.0	0.0	20.0	28.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	19.0	0.0	0.0
b841e151b4b735764bd9aa69a562cf20	9.0	9.0	5.0	5.0	5.0	5.0	0.0	3.0	8.0	24.0	24.0	4.0	2.0	8.0	5.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	10.0	18.0	0.0	4.0	0.0	0.0	0.0	0.0
73f150ba27d284961c392055b660b5ea	0.0	0.0	18.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	29.0	4.0	0.0	28.0	15.0	0.0	0.0	0.0	0.0	0.0	0.0	17.0	0.0	0.0	0.0	8.0	30.0	0.0	5.0
