asv	superkingdom	phylum	class	order	family	genus	species
acaf91cc9a043382dc13b894c6050a02	Eukaryota	Basidiomycota	Atractiellomycetes	Atractiellales	Hoehnelomycetaceae	Atractiella	Atractiella rhizophila
acddd4758722299755b6df71a911042b	Eukaryota	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Alternaria	Alternaria proteae
ace93b43241ca101359074be6c1fb4ed	Eukaryota	Basidiomycota	Tremellomycetes	Tremellales	Bulleribasidiaceae	Bulleribasidium	Bulleribasidium variabile
ad9056c3c6166059f578a4565d718c5b	Eukaryota	Mucoromycota	Glomeromycetes	Glomerales	Glomeraceae	Rhizophagus	Rhizophagus irregularis
adad382fa240e3bb3c14bc038a306301	Eukaryota	Basidiomycota	Agaricomycetes	Agaricales	Entolomataceae	Entoloma	Entoloma nubooccultatum
ae1241d4582c9d26ac74f585b94ed617	Eukaryota	Ascomycota	Eurotiomycetes	Eurotiales	Trichocomaceae	Thermomyces	Thermomyces lanuginosus
aea6927b3058c20b86bb86227e00009c	Eukaryota	Chytridiomycota	Monoblepharidomycetes	Monoblepharidales	Gonapodyaceae	Gonapodya	Gonapodya prolifera
aead87d746fc843fd9f093b3ec028289	Eukaryota	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium	Penicillium canescens
af39f0d5bc95858844bdb0abbc68f2ee	Eukaryota	Ascomycota	Orbiliomycetes	Orbiliales	Orbiliaceae	Hyalorbilia	Hyalorbilia oviparasitica
af91a8629a524f1eb4350d8bf4492a98	Eukaryota	Ascomycota	Dothideomycetes	NA	Gloniaceae	Pseudocenococcum	Pseudocenococcum floridanum
afa28d9bd800572620d22ff5d720065d	Eukaryota	Mucoromycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	Mortierella rishikesha
b11806bc2fee4a7df63db29422ad8735	Eukaryota	NA	Glaucocystophyceae	Glaucocystales	Glaucocystaceae	Glaucocystis	Glaucocystis sp. ARP-2014
b222c5536ab06009fc081368736efbe7	Eukaryota	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	Cladophialophora	Cladophialophora recurvata
b22b2529bb02fcbb3215874831c2991a	Eukaryota	Mucoromycota	Glomeromycetes	Glomerales	Glomeraceae	Rhizophagus	Rhizophagus prolifer
b23dbec60222bb4a3c646342af905aca	Eukaryota	Mucoromycota	Glomeromycetes	Diversisporales	Acaulosporaceae	Acaulospora	Acaulospora entreriana
b365b2168e4b9553b5d2cecc69d3dca4	Eukaryota	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	Sorocybe	Sorocybe oblongispora
b3c82b8a890bea7e142796014e830a25	Eukaryota	Basidiomycota	Exobasidiomycetes	Golubeviales	Golubeviaceae	Golubevia	Golubevia pallescens
b42a70c49a1d4a018d8eeee88644d960	Eukaryota	Chytridiomycota	Chytridiomycetes	Rhizophlyctidales	Arizonaphlyctidaceae	Arizonaphlyctis	Arizonaphlyctis lemmonensis
b4ad28418cc2f01cf26836df6577a175	Eukaryota	Chytridiomycota	Monoblepharidomycetes	Monoblepharidales	Gonapodyaceae	Gonapodya	Gonapodya prolifera
b4b19db4eb9fe4b678fe245735b1f270	Eukaryota	Chytridiomycota	Monoblepharidomycetes	Monoblepharidales	NA	Hyaloraphidium	Hyaloraphidium curvatum
b4b4070b182da3221eec676cd12cbb6f	Eukaryota	Ascomycota	Dothideomycetes	Cladosporiales	Cladosporiaceae	Rachicladosporium	Rachicladosporium eucalypti
b5293a1e5ce7ab55263531c89d648802	Eukaryota	Zoopagomycota	Zoopagomycetes	Zoopagales	Piptocephalidaceae	Piptocephalis	Piptocephalis moniliformis
b544ae40d0bee409f4d71380e7248820	Eukaryota	Basidiomycota	Agaricostilbomycetes	Agaricostilbales	Chionosphaeraceae	Kurtzmanomyces	Kurtzmanomyces tardus
b56f55433fa7d5f54a3a58c705015db6	Eukaryota	Chytridiomycota	Chytridiomycetes	Rhizophlyctidales	Borealophlyctidaceae	Borealophlyctis	Borealophlyctis paxensis
b651d86712cd2fe3f832d227dfe3e390	Eukaryota	Basidiomycota	Agaricomycetes	Agaricales	Agaricaceae	Agaricus	Agaricus xanthodermulus
b683c724508c342ea9a5670dc3a5bd2b	Eukaryota	Basidiomycota	Agaricomycetes	Agaricales	Strophariaceae	Galerina	Galerina venenata
